"Yr","Age4plus_bio.median","Age4plus_bio.025","Age4plus_bio.975"
1892,166773.301444312,95182.6081954759,456622.687777735
1893,166771.261878341,95180.6339863645,456620.608414022
1894,166769.2966181,95178.8150425084,456618.469142898
1895,166767.476715682,95177.1146578906,456616.614156917
1896,166767.142749722,95177.0748243743,456616.251584066
1897,166767.30209727,95177.4160254403,456616.363225374
1898,166767.485356833,95177.7713407401,456616.229754821
1899,166767.736589115,95178.1317838121,456616.382673508
1900,166767.926533633,95178.463225202,456616.425296927
1901,166768.104784445,95178.677796613,456616.536783696
1902,166768.093019912,95178.8285572818,456616.492945489
1903,166768.110419158,95178.9356654206,456616.534297484
1904,166768.15390805,95178.9543178402,456616.37707999
1905,166768.067130883,95178.9529921705,456616.255874164
1906,166767.928124089,95178.8781245292,456615.834867647
1907,166767.766196827,95178.7683563784,456615.666769152
1908,166767.574359861,95178.6164562732,456615.362300885
1909,166767.281433218,95178.4177777055,456614.843144039
1910,166767.01141406,95178.2111223336,456614.560190208
1911,166766.68011415,95177.9485972529,456614.181623057
1912,166766.312482309,95177.6844728936,456613.708594475
1913,166765.933307187,95177.3669081722,456613.205053178
1914,166765.564550467,95177.0110171854,456612.555414257
1915,166765.072028328,95176.6877545521,456611.997653218
1916,166764.571801595,95176.3387103859,456611.312227205
1917,166762.253120461,95174.146811333,456608.928291394
1918,166758.088999576,95170.2970784651,456604.430553987
1919,166749.128222027,95161.9865619767,456594.814153246
1920,166747.175591632,95160.7188287224,456592.424649778
1921,166744.620201387,95158.857452143,456589.269425323
1922,166740.883569869,95155.8408147782,456584.921707421
1923,166738.257512676,95154.0336519885,456581.713223078
1924,166737.79685178,95154.3865239129,456580.314044514
1925,166735.654658534,95153.008681629,456577.442420398
1926,166727.483854784,95145.861366731,456568.442925722
1927,166719.858258502,95139.3554971706,456559.618910311
1928,166704.798936849,95125.8595482812,456543.183062823
1929,166691.591607225,95114.6266433819,456528.121413031
1930,166671.235039448,95096.8075875318,456505.757843302
1931,166641.627774686,95070.5921989668,456473.381529406
1932,166608.718879841,95041.9865813071,456436.823229035
1933,166590.769567771,95028.6674318779,456415.087242292
1934,166575.742347651,95018.6225357781,456395.893150937
1935,166564.585152252,95012.3713203106,456380.264671534
1936,166542.780345075,94995.863609749,456353.683785631
1937,166517.388635731,94976.1609998901,456322.783822645
1938,166485.656724463,94950.7123633827,456285.157949557
1939,166448.894989401,94921.0923430114,456241.665857108
1940,166407.071339693,94887.2625776717,456192.212100424
1941,166294.094595228,94785.4527039635,456068.979285437
1942,166140.856222749,94647.8101238638,455901.930818088
1943,165850.68792743,94382.0043838222,455591.079736279
1944,164842.028641707,93429.4740508738,454535.62270051
1945,163104.724390275,91803.6325469014,452710.499734398
1946,160075.642049812,89050.6986201114,449519.842957059
1947,158318.310593259,87675.1333845265,447567.461561369
1948,157598.614455976,87348.5336564315,446637.262869785
1949,157106.753562342,87194.3867083615,445872.515435474
1950,156763.604328466,87170.1977098701,445257.791819505
1951,156429.191929326,87095.0429030786,444659.492528261
1952,156206.321484784,87083.6947971791,444188.470611356
1953,155802.896751094,86940.5497872571,443588.217891105
1954,155538.147102065,87006.8821121603,443216.61485062
1955,155066.948863994,86752.3481380869,442519.752365391
1956,154841.25962577,86675.7379709076,442012.665464932
1957,154110.896097991,86152.0509846783,441038.266021162
1958,153335.417397683,85546.3052043209,439961.557614394
1959,152780.549003678,85149.4050871048,439087.356511112
1960,152084.820126916,84647.9923092958,438091.652491113
1961,150925.456260315,83820.0354552816,436733.091579595
1962,149878.100637849,83088.7525481092,435444.466283264
1963,148434.33443037,81978.3331115824,433724.811848125
1964,147576.498566547,81457.3168103389,432586.25408454
1965,147080.40234821,81262.4050864671,431779.159477267
1966,146647.695202905,81115.6367456858,431026.007647792
1967,143064.409346509,77961.5427285641,427074.284686847
1968,141536.540711376,76752.1155574352,425048.914817838
1969,139789.327264844,75360.9062593105,422790.986411082
1970,137570.424446481,73649.8298554884,420118.539147077
1971,137030.401181501,73508.0016524417,419082.688023888
1972,137084.237072299,73899.7218797456,418615.947433035
1973,136448.95980527,73577.4719754721,417344.104656993
1974,136121.948874655,73396.8197327501,416293.924891955
1975,136271.08399299,73822.7728013443,415907.534254922
1976,136522.809532931,74476.3928235882,415809.576973259
1977,134167.147823629,72453.6183996738,412912.876369591
1978,131365.206648669,69873.4111366612,409348.989741063
1979,125823.624981121,64579.0907681343,402777.56699427
1980,120522.483006624,59887.8939764921,396602.049720538
1981,115377.414728791,55705.2389097468,390748.926407113
1982,109336.132987684,50593.9412245842,383698.19314565
1983,103362.747496388,45691.0257747221,376358.813066785
1984,98524.5685064816,41825.7928366248,370118.576585677
1985,96694.610305466,41080.274338709,369027.609577831
1986,96874.3828611204,42040.3942957566,370163.022932568
1987,95819.0202320538,41501.4432054418,369780.860840689
1988,94669.6362865474,41088.1805248926,369578.176310471
1989,91972.2756535591,39128.8199710481,367848.094549131
1990,89955.9968134884,37950.7526772293,366955.263175738
1991,89054.6615471976,36891.5628483735,366957.703419783
1992,88289.2334945993,35972.1224607592,366993.40561619
1993,84504.4152848825,32672.9763804338,364179.536431622
1994,81777.7055523377,30461.623375131,362165.861368342
1995,79450.552867279,28051.2442519318,360414.453380404
1996,77633.7095163714,25955.2447448173,359476.92304593
1997,74396.2547112772,23016.009865617,356939.858721032
1998,76340.0500635613,25500.0325924787,359711.5852831
1999,77260.8997636932,25630.9029536375,361365.207009549
2000,77464.5663818729,25765.5423893994,362366.656131716
2001,77075.2794977163,24476.8027552622,363114.536387092
2002,78204.3491366965,24672.1979319942,365317.27698585
2003,80614.8753906779,25837.8165608915,368243.614138139
2004,83619.7792269032,27518.9364019014,371863.73118612
2005,86374.4998033436,29653.2808934048,374985.43538983
2006,88814.3378324118,32424.1756702374,378597.598023407
2007,92104.4769627907,34641.9788152928,382358.478400333
2008,95781.5591514282,37317.4811968578,385926.944232521
2009,99173.9689788282,39644.7426192425,389110.044646521
2010,102051.61212577,41500.9549289761,391742.116040887
2011,104656.402191621,42506.4990747531,393947.434827772
2012,106684.240727908,43587.6947960194,395550.774384787
2013,108467.944439728,45462.7827559863,396817.306790646
2014,110410.285198145,47574.1494316039,398203.374416867
2015,112299.027453968,49642.9519846708,399458.09213904
2016,109023.953084412,49637.6479625287,374497.855136848
2017,105507.434052659,49306.9695766827,351266.577559479
2018,102352.328336509,48611.0350436459,340806.186674966
2019,99844.4943467934,48235.4829591532,333988.240501856
2020,97935.3613451863,48653.5066988503,328100.068182576
2021,96276.4037299396,48104.1865450522,319802.896891102
2022,95040.7635321736,46313.8957374386,309960.66376278
2023,93736.7391642945,45873.8754887551,301495.988971372
2024,92300.6118429971,45476.9732806522,294191.029253912
